car_name,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,car_prices_in_rupee
Jeep Compass 2.0 Longitude Option BSIV,"86,226 kms",Diesel,Manual,1st Owner,2017,1956 cc,5 Seats,10.03 Lakh
Renault Duster RXZ Turbo CVT,"13,248 kms",Petrol,Automatic,1st Owner,2021,1330 cc,5 Seats,12.83 Lakh
Toyota Camry 2.5 G,"60,343 kms",Petrol,Automatic,1st Owner,2016,2494 cc,5 Seats,16.40 Lakh
Honda Jazz VX CVT,"26,696 kms",Petrol,Automatic,1st Owner,2018,1199 cc,5 Seats,7.77 Lakh
Volkswagen Polo 1.2 MPI Highline,"69,414 kms",Petrol,Manual,1st Owner,2016,1199 cc,5 Seats,5.15 Lakh
Volkswagen Vento 1.2 TSI Highline AT,"49,719 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats,7.66 Lakh
Volkswagen Vento 1.2 TSI Highline Plus AT,"43,688 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats,7.58 Lakh
Honda WR-V VX Diesel,"14,470 kms",Diesel,Manual,1st Owner,2021,1498 cc,5 Seats,11.60 Lakh
Honda City i VTEC CVT SV,"21,429 kms",Petrol,Automatic,1st Owner,2015,1497 cc,5 Seats,6.99 Lakh
Renault Duster Petrol RXS CVT,"31,750 kms",Petrol,Automatic,1st Owner,2017,1498 cc,5 Seats,7.53 Lakh
Maruti Baleno 1.2 Alpha,"38,203 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,6.43 Lakh
Honda City i VTEC CVT SV,"1,10,284 kms",Petrol,Automatic,1st Owner,2014,1497 cc,5 Seats,5.43 Lakh
Mahindra XUV300 W6,"10,381 kms",Petrol,Manual,1st Owner,2020,1197 cc,5 Seats,8.62 Lakh
Jeep Compass 1.4 Limited Plus BSIV,"32,378 kms",Petrol,Automatic,1st Owner,2019,1368 cc,5 Seats,16.78 Lakh
Honda City V MT,"38,906 kms",Petrol,Manual,1st Owner,2020,1498 cc,5 Seats,10.03 Lakh
Hyundai Grand i10 AT Asta,"59,313 kms",Petrol,Automatic,2nd Owner,2016,1197 cc,5 Seats,5.63 Lakh
Hyundai i20 1.4 Asta,"85,672 kms",Diesel,Manual,1st Owner,2017,1396 cc,5 Seats,6.67 Lakh
Maruti Ciaz 1.4 Delta,"34,971 kms",Petrol,Manual,2nd Owner,2017,1373 cc,5 Seats,6.73 Lakh
Nissan Micra XL Optional,"35,894 kms",Petrol,Manual,2nd Owner,2015,1198 cc,5 Seats,3.21 Lakh
Maruti Ciaz Alpha Automatic BSIV,"56,000 kms",Petrol,Automatic,1st Owner,2019,1462 cc,5 Seats,8.50 Lakh
Maruti Swift Dzire VXI,"56,568 kms",Petrol,Manual,1st Owner,2014,1197 cc,5 Seats,4.34 Lakh
Renault KWID RXT,"48,872 kms",Petrol,Manual,1st Owner,2017,799 cc,5 Seats,3.11 Lakh
Renault KWID RXL BSIV,"17,346 kms",Petrol,Manual,1st Owner,2019,799 cc,5 Seats,3.70 Lakh
Jeep Compass 2.0 Limited Plus BSIV,"15,414 kms",Diesel,Manual,1st Owner,2019,1956 cc,5 Seats,15.88 Lakh
Hyundai Grand i10 1.2 Kappa Magna BSIV,"21,239 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,5.41 Lakh
Maruti Alto K10 LXI,"62,361 kms",Petrol,Manual,1st Owner,2014,998 cc,5 Seats,2.23 Lakh
Hyundai Verna 1.6 VTVT S Option,"79,329 kms",Petrol,Manual,2nd Owner,2015,1591 cc,5 Seats,5.88 Lakh
Hyundai Tucson GLS AT,"11,945 kms",Petrol,Automatic,1st Owner,2021,1999 cc,5 Seats,22.78 Lakh
Maruti Swift Dzire VXI 1.2,"51,324 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,6.12 Lakh
Nissan Magnite XV Premium,"5,717 kms",Petrol,Manual,1st Owner,2021,999 cc,5 Seats,7.44 Lakh
Honda City i VTEC CVT VX,"46,417 kms",Petrol,Automatic,1st Owner,2016,1497 cc,5 Seats,8.39 Lakh
Honda Amaze S i-Vtech,"1,00,161 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats,4.20 Lakh
Hyundai Grand i10 Sportz,"35,424 kms",Petrol,Manual,1st Owner,2016,1197 cc,5 Seats,4.91 Lakh
Hyundai EON Era Plus,"51,085 kms",Petrol,Manual,1st Owner,2017,814 cc,5 Seats,2.93 Lakh
Maruti Alto 800 LXI,"30,983 kms",Petrol,Manual,1st Owner,2016,796 cc,5 Seats,2.98 Lakh
Renault KWID RXL,"32,681 kms",Petrol,Manual,1st Owner,2016,799 cc,5 Seats,2.60 Lakh
Hyundai EON Magna Plus,"57,581 kms",Petrol,Manual,2nd Owner,2014,814 cc,5 Seats,2.38 Lakh
Honda Jazz 1.2 V AT i VTEC,"39,821 kms",Petrol,Automatic,1st Owner,2016,1199 cc,5 Seats,6.05 Lakh
Maruti Alto 800 LXI,"21,186 kms",Petrol,Manual,1st Owner,2018,796 cc,5 Seats,3.23 Lakh
Renault KWID RXL,"34,972 kms",Petrol,Manual,1st Owner,2018,799 cc,5 Seats,3.26 Lakh
Honda Amaze S i-Vtech,"46,623 kms",Petrol,Manual,2nd Owner,2015,1198 cc,5 Seats,4.21 Lakh
Kia Seltos GTX Plus,"18,557 kms",Petrol,Manual,1st Owner,2019,1353 cc,5 Seats,15.53 Lakh
Jeep Compass 2.0 Limited,"58,463 kms",Diesel,Manual,1st Owner,2017,1956 cc,5 Seats,12.43 Lakh
MG Hector Plus Sharp DCT,"5,000 kms",Petrol,Automatic,1st Owner,2020,1451 cc,6 Seats,18.50 Lakh
Tata Harrier XZ BSIV,"66,000 kms",Diesel,Manual,1st Owner,2019,1956 cc,5 Seats,15.90 Lakh
Renault Duster Petrol RXS CVT,"14,000 kms",Petrol,Automatic,1st Owner,2019,1498 cc,5 Seats,8.90 Lakh
BMW 5 Series 520d Luxury Line,"61,000 kms",Diesel,Automatic,1st Owner,2019,1995 cc,5 Seats,43 Lakh
